title,tag,artist,year,views,features,lyrics,id,language
Perdiendo La Noción,pop,Playboy Buzzy,2022,4,,"Estoy perdiendo la noción, por el humo y el alcohol Unas pastillitas que son todas de color Ya no recuerdo tus besos ni tu cuerpo  Estoy perdiendo la noción, por el humo y el alcohol Unas pastillitas que son todas de color Ya no recuerdo tus besos ni tu cuerpo  Ahora ando de party ya no ando relación   Noches y noches y noches necesite Ahora haces lo posible para volver  Cai en tu trampa y me enamore Pero pienso estoy mejor sin ti   Y no esque sea toxico  Esquе soy adicto a ti Nena eso es logico  Vеn y fuma que yo traje kush exotico  Pero no lo tomes personal Hay una vida pa disfrutarse  Y no esque sea toxico  Esque soy adicto a ti Nena eso es logico  Ven y fuma que yo traje kush exotico  Pero no lo tomes personal Hay una vida pa disfrutarse    Estoy perdiendo la noción, por el humo y el alcohol Unas pastillitas que son todas de color Ya no recuerdo tus besos ni tu cuerpo   Estoy perdiendo la noción, por el humo y el alcohol Y unas pastillitas que son todas de color Ya no recuerdo tus besos ni tu cuerpo Ahora ando de party ya no ando relación    No entiende que no voy a volver  No te necesito Ahora si abunda el papel..  No me vas a entretener.. No importa que demuestren Pero el diablo es mujer  Cambio de vida Todo se olvida   Todo se olvida  Todo en la vida Encuentra salida  Menos tu piensas..  Givenchi givanchi Se baja los panties  Cuellos brillantes  Más interesante  Somos amantes    Perdiendo la noción, por el humo y el alcohol Unas pastillitas que son todas de color  Perdiendo la noción, por el humo y el alcohol Unas pastillitas que son todas de color  Estoy perdiendo la noción, entre el humo y el alcohol Y unas pastillitas que son todas de color Ya no recuerdo tus besos ni tu cuerpo Ahora ando de party ya no ando relación  Estoy perdiendo la noción, entre el humo y el alcohol Y unas pastillitas que son todas de color Ya no recuerdo tus besos ni tu cuerpo Ahora ando de party ya no ando relación",7748872,es
Di Bawah Jembatan Kuning,country,Jason Ranti,2022,5,,"   Di bawah jembatan kuning Di bawah sihir bulan yang bergoyang santai Di pinggir sungai, di Kota Lamo Duduk melingkar, cangkir diputar Hei kawan, tahukah kau semalam laboratorium dibakar   Kalau sudah begini Apakah masih ada harapan? Harapan Dari teman-teman yang masih menyayangi hutan Harapan Bagi teman-teman yang masih menyayangi alam Harapan tan tan tan, ketan ketan ketan ketan ketan Harapan benaran Bagi teman-teman yang masih menyayangi kehidupan Di Kota Lamo  Aku ingin laporan, halo Tadi siang seekor kupu-kupu menemaniku Saat sedang buang hajat di tengah hutan Sungguh ia menemani aku Ingin kutelefon istri, aku ingin berbagi Kejadian-kejadian ini Tapi sayang oh seribu sayang Mmm sayang oh seribu sayang Sayang oh seribu sayang Di sini tiada sinyal, di Kota Lamo Kota Lamo Di Kota Lamo   Aku rindu istri, berharap dia ada di sini Akan tetapi begitu saja walaupun ia terlalu modern Bisakah mandi di sungai yang ada beraknya? Bisakah kau sikat gigi di situ? Bisakah kau kеramas di sungai yang ada beraknya? Oh, apakah krim pemutih kulit dari Korea Sеlatan yang kau beli di sebuah mal Jakarta Selatan masih represent? Di Kota Lamo   Tunggu sebentar, lihat itu Ada babikah yang menyeberang hutan? Bagaimana kalau kita panggang? Bagaimana kalau kita bakar, ey Hei kawan, sini sebentar Malam ingin bertanya Apakah kau pernah kelaparan? Apakah kau pernah kesepian? Apakah kau pernah nyasar kelaparan dan kesepian? Apakah ikan-ikan pernah kesepian? Apakah sungai pernah kehilangan? Mmm, mengapa manusia selalu berlebihan? Hei, mengapa aku juga berlebihan? Oh, aku heran, aku penasaran seketika muncul banyak pertanyaan Di Kota Lamo, di Kota Lamo  Orang makan ikan lalu berak di sungai Berak di sungai lalu dimakan ikan Ikan di sungai lalu kembali dimakan orang, ye Begitulah siklus kehidupan Di Kota Lamo Di Kota Lamo Di Kota Lamo Mmm Ye   Aku heran di tempat seindah ini Masih saja ada orang serakah Apakah itu termasuk aku? Mmm Aku heran di tempat seindah ini Masih saja ada orang serakah Apakah kita harus pasrah? Apakah kita harus bergerak? Aku pun heran di tempat seindah ini Masih saja ada orang serakah Apakah yang seharusnya dikuasai? Mengapa ingin menguasai? Relakah kau dikuasai, hei Koordinat doa dari mana-mana Hei Di Kota Lamo, wuuu Kota Lamo Kota Lamo Mmm Mmm hmm hmm hmm hmm hmm  Di bawah jembatan kuning Di bawah sihir bulan yang bergoyang santai Di pinggir sungai Di Kota Lamo Di Kota Lamo Di Kota Lamo",7872807,
Immaculate Friends,rock,Ten,2022,35,," Timeless scenes under neon Nights where dreams never end And days like these blood the young guns blazing Feel that beat, unforgiving Tireless heat, die to live We're raised on streets where the thunder rages   Hold back the night Keep the darkness waiting While the home fire still rages, this love remains   Setting the world alight Put on a show again Tеar this place apart tonight My immaculate friends Rеady the girls and guys Rewrite a story's end Bury broken hearts tonight From disastrous blends To immaculate friends  You and me Are the final fantasy, unrelenting Wild and free, you and I don't fake it Climb with me, we ascend in ecstasy If you give your heart to me Baby, I won't break it   Hold back the night Keep the darkness waiting For when all else has faded, this love remains   Setting the world alight Put on a show again Tear this place apart tonight My immaculate friends Ready the girls and guys Rewrite a story's end Bury broken hearts tonight From disastrous blends To immaculate friends   Hold back the night Keep the darkness waiting While the home fire still rages, this love remains  World, world, world, show again Tear this place apart tonight My immaculate friends Girl, girl, girl, story's end Bury broken hearts tonight From disastrous blends Setting the world alight Put on a show again Tear this place apart tonight My immaculate friends Ready the girls and guys Rewrite a story's end Bury broken hearts tonight From disastrous blends To immaculate friends",7718847,en
No Hook,rap,9K900,2022,14,2xChris,(Intro) Eyy x3 Gang Uhh look  (Verse 1) No i dont say shit I let the gun play Had her walk up to me like a runway Pointing which way like a migo say datway I won't do it at night its on broad day(boom X4) Hit the spot like its bingo but this ain't no old age Bout to go catch me a case Thats on gangnem they don't play bout me eyy watch how they letting that chrome spray If he tweakin we won't be playing games how his body be hitting the floor Open his scalp you think that we opening doors Jump off the porch i hop in a Porsche They hate that im balling like Curry so they be taking a nigga to court Call me Lil Chrome heart that's on gang the bullets be hitting an opp on his dome 100 some shots that's just how quick he be losing his soul he ready to go     RIP to his body we gon be hittin them stars you'd think  that we  Ricky and Morty I got a whole Lotta shots in this 40 Finding these opps like we looking for Dory Flippin Dinero you watch how i move Uhh  put that Lil boy on the news Im chasing these  cheques how imma get em...(how imma get em) no i dont got a clue HBK that's the gang we don't do heartbreak We  leaving yo gang wit a heartache Boom boom  that's what the Glock say Imma make it out make it on Broadway Time is money so i let the clock say And i dont do role play uhh Gang Uhhhh uhh (eyyy) Uhhh uhh (gang) Uhhh uhh  uh uh  (verse 2) Sippin on Wok and this shit got me lit This beat bout to get me turnt up in this bitch (pa pa pa) She run she think imma chase her (no i ain't) Sippin on uh did that with no chaser (shhhh) Rag on the stove it's hot I'm a baker Shooters they ball like the Lakers (swear to God) I been goin dumb draco it came with a drum Shooting this glick for fun (paa) And if they don't believe me i really been stacking my chips up Told his ass to get up Go and get you a bag Get up off yo ass This can't be yo last Go and spend time with your dad Cause when my dad died i was mad Cause when my dad died I was sad He the reason why im totin these choppers he was all i had (Fa Fa Fa) Now i got all these bodies they piling up Yeah they think that they tough they can body us I dont give two fucks let them tools buss Got a dick on the glick im a fool huh Oh you rude huh yeah I'm rude too( I swear to God) You a kill em and put it on YouTube Without the violence I swear I'm a cool dude (yeah) They hang around and they'll fool you (On my mama) I hate fake niggas i hate fake bitches Don't trust bitches swear i hate bitches But the bitches with alot of k bitches oh yeah I prolly can't make this,7564253,en
Bugs bunny,rap,Yngdaddy,2022,23,, Ай ай Gang   Lil daddy хочет себе новую милфочку Че ты стоишь? позови свою мамочку (папа) Damn Я сейчас в Miami Бля это такое чувство я будто бакс бани Damn (фа)   Пырнул oppa ножом (уу) Он умирал но пошёл домой пешком (damn) Не могу ответить я напишу потом (лох) Hold - on damn Мы не играли в Карты но ты дурачок (еблан) У меня ТТ мне похуй что ты качок (лох) Не читай реп иди снимай tik tok (лох) Пау! этот нигер упал (чёрный) После этого я его тело обоссал (ссыл) Damn Мне пришло уведомление Это значит я приумножил свои вложение (iPhone) В меня выстрелили у меня ножевое ранение  Lil daddy хочет себе новую милфочку (Мама) Че ты стоишь? позови свою мамочку (Папа) Damn Я сейчас в Miami Бля это такое чувство я будто бакс бани Damn   Нигер пиздуй лесом (лес) Иначе могу уебать своим весом (толстый) Айй Я в этом подкован Я знаю кто ты и кто твой мужчина (гей) Айй Я знаю ты пидор (ррр) Считай что твоё ебла уже разбита (еблан) Damn Со мной daffy duck Ловлю этих сук называй мне рыбак (фу) Они тупые как Собчак (президент) Пока ты пиздел я сделал ещё один фраг (kill) Айй Твой реп вообще не как (лох) Нахуй сигареты я курю свой косяк  Lil daddy хочет себе новую милфочку (Мама) Че ты стоишь? позови свою мамочку (Папа) Damn Я сейчас в Miami Бля это такое чувство я будто бакс бани Damn (Е-е-е),7664961,ru
Or Not,pop,Bayo Lanez,2022,6,,"Yeah yeah yeah Yeah yeah yeah, yeah Woah Woah Woah Woah Woah Woah uh uh  Or not Wanna know if you love me or not Cah I've been feeling like you don't love me no more Girl I really wanna know why It's like you've been telling lies  Wanna know if you love me or not Cah I've been feeling like you don't love me no more Girl I really wanna know why Baby is you really mine?  She said she don't wanna talk about that Said she's all about the paper Said we can talk about that later Said she was gonna treat me better hmm Yeah I know that she don't understand That the love is getting weaker And she doesn't even wanna fix that Said she just wanna get her cheeks clapped  Why you gotta treat me like that, treat me like that You know I won't treat you like that, treat you like that Why you gotta break my heart, break my heart You know I won't break your heart, break your heart  Why you gotta treat me like that, treat me like that You know I won't treat you like that, treat you like that Why you gotta break my heart, break my heart yh  Or not Wanna know if you love me or not Cah I've been feeling like you don't love me no more Girl I really wanna know why It's like you've been telling lies  Wanna know if you love me or not Cah I've been feeling like you don't love me no more Girl I really wanna know why Baby is you really mine?  She said she don't wanna talk about that Said she's all about the paper Said we can talk about that later Said she was gonna treat me better hmm Yeah I know that she don't understand That the love is getting weaker And she doesn't even wanna fix that Said she just wanna get her cheeks clapped  Is you really mine Is you really my baby? Is you really mine or you telling lies shawty  Is you really mine Is you really my baby? Is you really mine or you telling lies shawty Yh yh  Or not Wanna know if you love me or not Cah I've been feeling like you don't love me no more Girl I really wanna know why It's like you've been telling lies  Wanna know if you love me or not Cah I've been feeling like you don't love me no more Girl I really wanna know why Baby is you really mine?  Is you really mine Is you really my baby? Is you really mine or you telling lies shawty Is you really mine Is you really my baby? Is you really mine or you telling lies shawty Yh Yh",7654100,en
​happy girl,pop,Katie Dey,2022,40,,You look like when the sky looks pretty All it takes is for you to be there The words burn up as I type them Hold my hand or shut the fuck up Collapse under the weight of the girly chaos Even in a world like this Winter still comes by Eventually it still moves on I wanna be a happy girl  You like the worst woman right ? So psyched out of your own life Simulacra catfight You win your cuteness with your own two hands It's a feeling of being completely possessed Eventually I hope we can rest Eventually the fear comes out I wanna be a happy girl  Even in a world like this I could still hold you Eventually you'd hold me too Eventually the fear comes out I wanna be a happy girl,7634655,en
Rolling Quartz - Rocknroll Paradise English Translation,pop,Genius English Translations,2022,67,," What are you worried about? Don't hesitate, you don't have to hide Why are you so down? Never mind that, it's not a big deal   Don't disturb my life Don't step here Yeah, if you tell a lie Then you just a singing fly Don't be afraid   Let's shout it out together It's a party time Let's go crazy together Rock and roll paradise Don't pretend It's a party time Like we're crazy Rock and roll paradise  Never once have you Gone crazy with me   Don't disturb my life Don't stop herе Yeah, if you tell a lie Thеn you just a singing fly Don't be afraid   Let's shout it out together It's a party time Let's go crazy together Rock and roll paradise Don't pretend It's a party time Like we're crazy Rock and roll paradise Rock and roll paradise   Don't disturb my life Come on Yeah, if you tell a lie Then you just a singing fly Don't disturb my life Come on, let me show you Yeah, if you tell a lie Then you just a singing fly  Let's shout it out together It's a party time Let's go crazy together Rock and roll paradise Don't pretend It's a party time Like we're crazy Rock and roll paradise Rock and roll paradise",7680985,en
Pretty Pearl feat. Baby Prince,rap,Mason Dane,2022,217,Baby Prince," Baby girl, it’s a nasty world No more suit and tie, no Come here, make it twirl Let me come inside Everybody cries She an only child You my pretty pearl Baby girl, it’s a nasty world No more suit and tie, no Come here, make it twirl (uh) Let me come inside Everybody cries She an only child That my pretty pearl (uh)   Baby I wish I could give the world You my everything You my pretty pearl You my sunshine in this shitty world You give it try, ain’t no city girl You know that I give you the roses way before you leave From the start you had my heart, it was up on my sleeve So when the sunshine turns to dark, just know I’ll never leave Even in the deep end you’re all I breathe  It’s a nasty world and I know you need someone (no, ooh) The reason for my sunshine (no, oh)   Baby girl, it’s a nasty world No more suit and tie, no Come here, make it twirl Let me come inside Everybody cries She an only child You my pretty pearl Baby girl, it’s a nasty world No more suit and tie, no Come here, make it twirl (uh) Let me come inside Everybody cries She an only child That my pretty pearl (uh)   You know when you get mad that’s when I’m most in love I see that fire in your eyes, it always wakes me up If we take L’s then we double up We come back way harder and turn it to a dub’ I feel at home whenever I look in your eyes Told me your secrets so you know I told you mine No, I’ve been feeling far from home like all the time And you make it alright  No, I don’t gotta decide Or rewind Baby, I’m right here When I look in these eyes No, these eyes I can see that you know   It’s a nasty world and I know you need someone (no, ooh) The reason for my sunshine (no, oh)   Baby girl, it’s a nasty world No more suit and tie, no Come here, make it twirl Let me come inside Everybody cries She an only child You my pretty pearl Baby girl, it’s a nasty world No more suit and tie, no Come here, make it twirl (uh) Let me come inside Everybody cries She an only child That my pretty pearl (uh)",7726612,en
Fentanyl,rap,5g Zakon,2022,23,," Ej, ej, ej, ej Niezły bit Drozdzior   Uważam co mówię, wszystko słychać przez te ściany Wchodzę tobie znów na banię tak jak jebany fentanyl Cią-ciągle prę do przodu, no a was zostawiam w tyle Spo-spowolnione ruchy, porobiony fentanylem Uważam co mówię, wszystko słychać przez te ściany Wchodzę tobie znów na banię tak jak jebany fentanyl Cią-ciągle prę do przodu, no a was zostawiam w tyle Spo-spowolnione ruchy, porobiony fentanylem   Podaję plasterek i nie chodzi mi o blister Ta twoja mała klika, wszyscy dostaniecie w pizdę (jebać) Kurwy mają przejebane, u nas zawsze będę świeży To co przewijam na trackach, no to kurwa nie  są ściemy (nie) Leci dobry bit, chociaż nie dał mi go Sot Poczеkaj jeszcze trochę, no i będzie las rąk (kurwa) Kiеdy wszyscy inni śpią, a ja powijam se torbę Moje serce całe czarne, chociaż dusza poza zmrokiem Tutaj skad pochodzę, no to dzieje się krzywo (w chuj) Chyba jestem w lustrze a ty kurwa  pedryllo Ej, ej, je-jebana impasibel Idę wciąż pod prąd i reprezentuję imię (essa) To są moje linię, hajs poleci z konta Chociaż bity rozpierdalam, no to zawsze lecę spontan (spontan, essa)  Czas to pieniądz i ja musze go oszczędzać (ej, ej) To Drozd beat, 808 ryja wykręca Same u ciebie kłamstwa w tych jebanych wersach Twój ziomek po fentanylu tam na komendzie pęka Udajesz uliczniaka no i coś pierdolisz, bozo A moi ludzie ci zagrożą jak powiesz złe słowo (pow) Poznałem piękną kobietę, poznamy sie na nowo (ej, ej) Patrzę na siebie w lustro, no i mówię rusz tą głową Jesteś zwykły frajer, na co kurwa tutaj liczysz Ziomek proszę zapamiętaj kurwa dont trust bitches (pow, pow) Wyjebane w rymy, a ty dalej sobie  ćwiczysz Jak mowa o muzyce no to ciebie nie dotyczy   Uważam co mówię, wszystko słychać przez te ściany Wchodzę tobie znów na banię tak jak jebany fentanyl Cią-ciągle prę do przodu, no a was zostawiam w tyle Spo-spowolnione ruchy, porobiony fentanylem Uważam co mówię, wszystko słychać przez te ściany Wchodzę tobie znów na banię tak jak jebany fentanyl Cią-ciągle prę do przodu, no a was zostawiam w tyle Spo-spowolnione ruchy, porobiony fentanylem   Ona chciała coco, nie wiedziałem co to jest A ja dałem jej torebkę, mówi ze ma takich sześć Ziomek karmi tylko innych, ale dla mnie pies Myśli, że jest tough, ale gdzie jest jego cash 808 lata ciągle mi po uszach Kiedy pisze te piosenki, no to nigdy się nie zmuszam Jakbym latał z tym na gaciach, nie powstała by „Yakuza” Gdybym nie zaczął muzyki, byś nie wiedział co tu puszczać (nie, nie) Biały cukier, a nie wdowa Ona znowu łapie zgona Nie mam czasu jej ogarniać, obok ziom połyka klona (ej, ej) Nie ma twarzy, nie sprawy Ja nie myślę nad sądami 5g jest na fali (ej, pow)  Po-pojebane stany, przez które dotykam lawy Miedzy nami jest różnica, Lodi to ten pojebany Zawsze pluje na fentanyl, każdy kontakt wysypany Jakieś ćpuny obrażały, a na prawdę się mnie bały Ten fentanyl jest tak biały jak pity air force-y Zawsze byłem gorszy, dawaj trochę mocy Pomocy w wyjściu z nałogu, bo-bo bez tego gówna nie potrafią zrobić kroku Dla was szczere PDW   Nie potrafię żyć, chyba kurwa w inny sposób Nos mi daje sił, nos mi daje święty spokój Oplujesz mnie dziś, to spotkamy się po zmroku Jestem całkiem inny, nocą zawsze silny Mój charakter zależny od tego co mam w sobie Dziwne myśli w głowie, lecz wam ich nie powiem Idę do spowiedzi, ale nie rozmawiam z Bogiem Wieczny mętlik w głowie (Wieczny mętlik w głowie ej, ej)   Uważam co mówię, wszystko słychać przez te ściany Wchodzę tobie znów na banię tak jak jebany fentanyl Cią-ciągle prę do przodu, no a was zostawiam w tyle Spo-spowolnione ruchy, porobiony fentanylem Uważam co mówię, wszystko słychać przez te ściany Wchodzę tobie znów na banię tak jak jebany fentanyl Cią-ciągle prę do przodu, no a was zostawiam w tyle Spo-spowolnione ruchy, porobiony fentanylem",7717008,pl
