title,tag,artist,year,views,features,lyrics,id,language,image_url
Hall Pass Skit,rap,Masta Ace,2016,142,,"
— Ey Fats, can I ask you a question?
— You just did bud, any way what's up?
— Remember that first day we met? I was looking for the football office and you gave me directions?
— Yeah I, I remember, what about it?
— Well, I was a freshman then and you were what? A junior?
— Yeah, ok? So and what?
— I'm a junior now and...
— Wow, w-w-what spit it out already
— How are you still here? Shouldn't you have graduaded by now?
— Look, look, don't be a wise guy, just pretend I'm in grad school or something alright? Just shut up, look who's coming. It's your girl
— That's not my girl, Fats
— Heh, but you wish it was
— Hi boys
— Heh, look at that",2480407,en,https://images.genius.com/8d36039e39970951af18d742b5828aae.1000x1000x1.jpg
Rudyard Kipling’s “The White Mans Burden”,misc,Mr_DWolford,2015,40,,"Take up the White Man's burden--
Send forth the best ye breed--
Go bind your sons to exile
To serve your captives' need;
To wait in heavy harness,
On fluttered folk and wild--
Your new-caught, sullen peoples,
Half-devil and half-child.

Take up the White Man's burden--
In patience to abide,
To veil the threat of terror
And check the show of pride;
By open speech and simple,
An hundred times made plain
To seek another's profit,
And work another's gain.

Take up the White Man's burden--
The savage wars of peace--
Fill full the mouth of Famine
And bid the sickness cease;
And when your goal is nearest
The end for others sought,
Watch sloth and heathen Folly
Bring all your hopes to nought.
Take up the White Man's burden--
No tawdry rule of kings,
But toil of serf and sweeper--
The tale of common things.
The ports ye shall not enter,
The roads ye shall not tread,
Go mark them with your living,
And mark them with your dead.

Take up the White Man's burden--
And reap his old reward:
The blame of those ye better,
The hate of those ye guard--
The cry of hosts ye humour
(Ah, slowly!) toward the light:--
""Why brought he us from bondage,
Our loved Egyptian night?""

Take up the White Man's burden--
Ye dare not stoop to less--
Nor call too loud on Freedom
To cloke your weariness;
By all ye cry or whisper,
By all ye leave or do,
The silent, sullen peoples
Shall weigh your gods and you.
Take up the White Man's burden--
Have done with childish days--
The lightly proferred laurel,
The easy, ungrudged praise.
Comes now, to search your manhood
Through all the thankless years
Cold, edged with dear-bought wisdom,
The judgment of your peers!",720849,en,https://assets.genius.com/images/default_cover_image.png?1697817458
Beat The Sun,rap,Tone'Oh,2021,8,"La4ss,Tone'Oh","Intro

Coldest in this shit & thats fact
Move around wit them stix like the Nasdaq
Hah Its tohn

Verse I

1. Talking that shit & I back up the speech
2. Serving the pit double bagging up each
3. Bows in the back of my jag at the beach
4. Ain’t no stems in that bitch but I’m cracking the peach

5. Cross state lines you ain’t outta my reach
6. Narco for real & the powder my niche
7. Rolle impeach when the sig to the dome
8. Ya stolie’s been breached when I break in ya home

9. Break in ya phone & I snatch all the geeks
10. Stash all the heats under maxima seats
11. Taxing for feats & the cuties for 7
12. Bitch bout a 4 but the booty 11
13. The toolie be revving I’m letting em off
14. Hit thi bit twice & I’m betting you cough
15. Betting you better off running that shit
16. Bolt wit a front & I’m gunning that bit

17. Gunning yo whip, hope gun in yo whip
18. 15 let off but one in yo clip
19. Running yo drip ion want it don’t trip
20. But I do need the money & a comfortable tip

21. Comfortable grip on the Glock gen 4
22. Thotty crack in the whip & I lock my door
23. Put the cock on a whore, crack rock in my store
24. Got so many clips on me I should tik tok more
UH

(Hook 2x)

1. This bitch know imma do her dirty kuz I ain’t the one, (NAH)
2. They ain’t gon press shit more than surely man I ain’t for none, (NAH)
3. I hit the interstate-state-state bright & early beat the sun, (I beat it)
4. You can’t fuck wit me why they gave to bitchass feet to run

Verse II (LA4$$)

All 23 years I been balling like Jordan, ran up a bag now I’m feeling important
We catch em lacking now the kid aborted, Porsche Panamara hit it hear the horses
Wit a white boy moving white boy sell the pack & I grip it all night boy
I be throwing them plays like (?) all them VVS diamonds they choker boy
Ay Ay he thought I’d get on the track & just cap I’m really road running moving them zaps
(?) in my pants I up it & clap can’t talk on no apple shit kuz it be tapped
I got some blocks on my like Shaq all this water could skip a rock on my hand

All these opp thot bitches speaking on the gang could die wit a dick in they hand
Only kuz imma die wit a dick in my hand I be popping my shit but I’m straight out the Skan
& my potna got the drop I pull up & pop it at a opp until the hammer get to jam

Can’t run nigga kuz I’m chasing ya down
The police locked me up I ain’t make a sound
Red dot on his nose kuz that boy a clown
I jump in a pool full of money & drown",7543017,en,https://images.genius.com/a40bd19ce999f2223acbd9a3d8d45e6b.1000x1000x1.jpg
Caught Up,rap,B.U.G Antman,2020,2,,"
I told her you gone get me caught up
I told her you gone get me caught up
I told her you gone get me caught up
I asked that hoe why my name was brought up
I told that hoe you gone get me caught up
I had to lie and say it's not us

If you stayed down I'd of bought you Prada
I'm on the block servin all this product
I know they plot you don't gotta warn us
We sent some shots that is just a warning
Feel asleep in the pussy it was just so warming
She don't want you cause she said your corny
I fuck on her cause I'm always horny
It's nice outside in the club it's storming
I throw them racks while she's preforming
Why I got so many dead's but I'm nevеr mourning
There's a new bitch in my bеd every fucking morning
Every time I get that bread ima fucking stash it
Every time I get that head ima fucking pass it
I'm gone vacuum seal the grams in the fucking plastic
I'm gone flip that pack like damn I don't do gymnastics
I do mathematics
I'm gone calculate these bands just like mathematics
Every time I roll these grams I put more than average
I told her I'm not yo man
Yeah

I told her you gone get me caught up
I told her you gone get me caught up
I told her you gone get me caught up
I asked that hoe why my name was brought up
I told that hoe you gone get me caught up
I had to lie and say it's not us

I count these racks with the blindfold
I can't go back to my old hoe
That hoe get passed just like backstage
I hit from the back give her back aches
You see my neck this a ice age
I want the neck she got a nice face
You thought that was her that was a fan page
I fuck on the real one
Yeah

I told her you gone get me caught up
I told her you gone get me caught up
I told her you gone get me caught up
I asked that hoe why my name was brought up
I told that hoe you gone get me caught up
I had to lie and say it's not us",6433687,en,https://assets.genius.com/images/default_cover_image.png?1697817458
The Babies,rap,Jasiri X,2015,170,,"


It inspires the babies’ questions, ""What's that?""
It inspires the babies’ questions, ""What's that?""
It inspires the babies’ questions, ""What's that?""
For their mothers as they ride


But no one stopped to think about the babies or
But no one stopped to think about the babies or
But no one stopped to think about the babies or
But no one stopped to think about the babies or


No child left behind for being profiled
No smiles in every picture pitchin’ coke vials
Imagine babies being born with a black mask
And the bulls-eye birthmark on our black ass
The officer Loehmann shot Tamir that fast
Four hundred years of fear appeared in the gat blast
They ain’t tell us we'd be murdered by the polícia
Ooh child, they said things were gonna get easier
They ain’t tell us we be crucified in the media
Turned into a hashtag, highlights on Wikipedia
The rich get greedier, the poor more needier
The hood seedier, lock us up instead of freein’ us
Who speaks for us? We ain’t listenin’ when you preach to us
So concerned when we can only learn what you teachin' us
If love is a lap dance and hip-hop is rap bands
Our babies, they don’t stand a fat chance, damn

But no one stopped to think about the babies or
But no one stopped to think about the babies or
But no one stopped to think about the babies or
But no one stopped to think about the babies or


It’s for the babies, yep, it’s for the babies
In this world gone crazy, this world called Hades
It’s for the babies, yep, it’s for the babies
In this world gone crazy, this world called Hades


Is every childhood for black babies?
Criminalized at birth, they call us crack babies, that’s crazy
But we ain’t never heard them talk about a meth child
White supremacy means always havin’ the best child
Why they hand us to death style with a fresh smile?
Man, tell me how to protect child from projectiles?
We need God to bless a child with a vest now
How we bein’ raised if followed by days of let downs?
See we inherited ideals that our parents lived
Taught us to go to war then they treat us like we terrorists
Then act all shocked when it’s babies we buryin’
But killin’ for what you want is just bein’ American
They teach us to worship Jesus but curse his speeches
But whitewashing the savior just made them the worst believers
Then point to the flag and tell us to pledge allegiance
To a place they still treat us like a stillborn fetus
Believe it

But no one stopped to think about the babies or
But no one stopped to think about the babies or
But no one stopped to think about the babies or
But no one stopped to think about the babies or


It’s for the babies, yep, it’s for the babies
In this world gone crazy, this world called Hades
It’s for the babies, yep, it’s for the babies
In this world gone crazy, this world called Hades",2866270,en,https://images.genius.com/228b6a1e33199174498ac37e5a3156d7.700x700x1.jpg
Heaven Tells No Lies,rock,Helloween,2007,439,,"I could go a step ahead and try
Harder than before but I deny
Always when I try a step
Something's gonna hold me back
Back to where I started
I just bump my head instead
Better leave me here all on my own
Better leave me or become my clone
Everyone who grabbed my hand
Fell into the same wasteland
Don't try to convince me with your optimistic smile

I'd need a shotgun in my dreams tonight
To terminate my rotten side
Just need one shot into the center of my hate
To light the darkness and run free
From that old spell

I don't know if hell or paradise
Belong together or if Heaven Tells No Lies
You role the dice
You know the price is higher than you can afford
Beware of what you might see
Can you trust your blinded eyes?
I don't know if Heaven tells no lies
Black is white and colours turn to grey
What was close is drifting far away
Just now right's already wrong
What turns weak was never strong
Can I kill the demon without blowing out my mind?

I'd need a shotgun in my dreams tonight
To terminate my rotten side
Just need one shot into the center of my hate
To light the darkness and run free
From that old spell

I don't know if hell or paradise
Belong together or if Heaven Tells No Lies
You role the dice
You know the price is higher than you can afford
Beware of what you might see
Can you trust your blinded eyes?
I don't know if Heaven tells no lies

I will return
You have to burn
Abide my vision, you no longer keep me bound
I will be back
I will attack
In my religion I will make you hellhound drown",1429406,en,https://images.genius.com/230026ad69a0458c2b4f6c7179146a1f.250x250x1.jpg
OIAM,rap,After The Smoke,2012,16944,,"
Knock, knock, who's there? Open up five minutes
Searching for that weed man, he be back in five minutes
What he doin? I don't know but I'm bout to vacate
Ain't messing with corny bitches, I'm saying they straight face
Call me if you need me though, I be on the Northside
Probably leave intoxicated lightly toasted or high
But you shouldn't follow me cause where I go is dangerous
Party hard with zombies and all that brain was made for us


You should know, I'm one in a million
Tell me I'm against the ropes
Oh oh, just one in a million
But I could fight this on my own
You should know, I'm one in a million
Tell me I'm against the ropes
Oh oh, just one in a million
But I could fight this on my own


Heard that you'd said all my plans would end in disaster
I heard that you would slow my drive hoping I would crash up
But then you'd eventually see my hustle praying for us to mash-up
Well, Fuck you hater I've evolved
I'm never gonna let you (pass this)
You like that? Feel it



He told me I was really, coming too aggressive
Maybe overconfident choosing few suggestions
But I don't really need it, cause I'm fuckin' impressive
I focus on my checks, blood and sweat really stress me
Moving like it's wrestling, hold it, question?
If you wanna get just like me
Shouldn't you have learned your lessons
Thou shall not never fuck with I
Especially against my grind mode
Then stand me in front of a firing squad
With A Cigarello and a blindfold

",64538,en,https://images.genius.com/239a517bdf570974467bde7a12d890c1.640x640x1.jpg
RATTLESNAKE,rap,Scriptz,2021,4,,"
Scriptz
Kickin and drippin my wings are so smitten
Engulfed in those flames I'm like phoenix not kitten
Feathers are falling off bed is so hidden
But god's got my back I land in the pit fit in
Crowd wants my strife so here's what I have written
Clown with that knife I'm armed like I'm committin
To murder and sight I'll blind you for the shittin on my set
Have we met? I'm a satan spawn spittin
In a mech for the sex got a deagle and a clippin
I'm an amends for the cause that you keep in cars ridden
Britty for the hex and the foreign for the slidden
Drifting and thrifting I massacer the crowds like I'm bitten
Watch the truck carry you so far
What a mess in an animal flare
Picturing us for cannibal star
Eating their souls up Im cosmic and rar
WHAT WHAT
Catch up for the back up truck
Filled with the goons and gorillas and shumcks
Commanding them to the end of their quick luck
Bottom of barrel I know it is up
Bottom of stairwell we're running for fun
I'm scratching the wood and I'm finding we're done
So far out from shore we have drifted and flown..
Yeah",6973639,en,https://images.genius.com/640dddb516a71124f648208d411c1937.500x500x1.jpg
Your Bodys Calling,pop,Kelly R.,2015,298,,"I hear you calling, here I come baby to save you
Baby no more stalling, these hands have been longing to touchyou, babe
Bridge
And now that you come around to see it my way
You won't regret it baby and you surely won't forget it baby
It's unbelievable how your body's calling for me...
I can just hear it calling, calling me

Chorus:
Your body's(body) calling (babe)for me ( I can hear it callingbabe)X4
Tell me..
What's your desire? Baby your wish is my will oh yes it is..
Let me take you higher and show you how you should feel baby
Bridge
So speak now or forever hold your body
Whatever it is you want from me (Lady)
You see you don't have to say nothing
Knowing your body wants something
And its easy for me to see
That your body is calling me
Chorus
Spoken-
I'm listening baby
I hear you calling me (Repeat 4)
Hear your body calling me
Repeat Chorus (Till fade)",1370359,en,https://assets.genius.com/images/default_cover_image.png?1697817458
Iced Out Boomer,pop,Phonewifey,2020,107,Roma Radz,"Wait wait
Hold up
U got urs i want mine
We done propped u up for some time
This is not what i had in mind
Passed the buck for all of ur crimes
The gall to call us out for our vibes
That’s an eye roll -
Get with the times
No we’re not just pressing rewind
And u say we’re lacking a spine

I don’t wanna talk it's over
Don’t care at all for ur awful culture
It’s just a thought - it’s not a war
Watch me get down on the floor
Down on my luck need a 4 leaf clover

Wait wait
In a daze
I’m out of my mind
I been organising online
Fuck this shit we’re going outside
Are u just not that way inclined
Why is no one holding my hand
This is not the life i had planned
Why is no onе holding my hand
This is not the life i had planned

Wait wait
Mum and dad
Thеy make me so sad
One is dead the other is mad
This is not the life i had planned
Why is no one holding my hand
Grow up Roma that’s what they said
Ur so lucky
I am not dead
Sick of being told we’re brainwashed
Frankly, we just don’t give a toss

I don’t wanna talk it's over
Don’t care at all for ur awful culture
It's just a thought - it's not a war
Watch me get down on the floor
Down on my luck need a 4 leaf clover

Wait wait
Hold up
U got urs i want mine
We done propped u up for some time
This is not what i had in mind
Passed the buck for all of ur crimes
U got urs i want mine
We done propped u up for some time
This is not what i had in mind
Passed the buck for all of ur crimes",6350211,en,https://images.genius.com/b425d5a09f6a5bdbb8b4281cfd25a0c6.500x500x1.jpg
